Team,Arrests_per_capacity,Total_Arrests,Violent_disorder,Public_disorder,Throwing_missiles,Racist_chanting,Pitch_incursion,Alcohol_offences,Ticket_touting,Possession_of_weapon,Possession_of_pyrotechnics,Breach_of_banning_order,Criminal_damage
Accrington Stanley,1.97745699,1,0,1,0,0,0,0,0,0,0,0,0
Bournemouth,34.57943925,37,6,21,0,0,5,3,0,1,0,0,1
"AFC Wimbledon, Kingstonian",31.77966102,15,3,2,0,0,4,2,0,0,2,2,0
Aldershot Town,14.08450704,10,1,5,0,0,3,1,0,0,0,0,0
Arsenal,23.52512384,142,29,51,11,0,5,26,4,0,9,1,6
Aston Villa,40.43189679,173,18,69,7,2,15,42,0,0,7,4,9
Barnet,36.70788253,19,0,4,1,0,5,9,0,0,0,0,0
Barnsley,45.63431701,105,24,46,1,0,9,12,0,0,4,4,5
Birmingham City,63.64757239,191,29,78,11,0,13,38,0,4,15,1,2
Blackburn Rovers,9.950568145,31,7,12,1,0,0,5,0,0,6,0,0
Blackpool,14.18002466,23,0,8,0,0,2,3,0,0,9,0,1
Bolton Wanderers,22.28179508,64,9,19,1,3,4,11,0,5,6,0,6
Bradford City,28.24633991,71,12,27,1,0,6,19,0,2,4,0,0
Brentford,37.60871269,48,6,16,1,0,5,8,0,1,9,2,0
Brighton and Hove Albion,17.43094663,39,11,14,1,0,4,7,0,0,1,1,0
Bristol City,33.02786435,71,15,27,0,0,7,8,0,1,10,3,0
Bristol Rovers,32.47023562,39,6,16,3,0,3,11,0,0,0,0,0
Burnley,20.40273219,46,7,12,4,0,2,19,0,0,2,0,0
Burton Albion,2.893518519,2,0,1,0,0,0,1,0,0,0,0,0
Bury,23.64864865,28,4,10,2,1,5,4,0,0,2,0,0
Cambridge United,3.687655573,4,1,1,0,0,0,2,0,0,0,0,0
Cardiff City,18.26449978,49,8,12,0,0,1,18,1,0,7,1,1
Carlisle United,24.17316778,44,2,14,0,3,7,8,0,0,8,1,1
Charlton Athletic,19.91811442,54,10,15,7,0,4,7,0,0,6,2,3
Chelsea,33.22417955,139,28,44,10,0,19,22,4,1,2,2,7
Cheltenham Town,4.245683555,3,0,1,0,0,0,1,0,0,1,0,0
Chester,55.80357143,30,0,17,0,0,4,7,0,0,2,0,0
Chesterfield,23.07692308,24,8,10,0,0,2,0,0,0,0,0,4
Colchester United,17.8500595,18,11,4,0,0,2,0,0,0,1,0,0
Coventry City,16.86650925,55,2,31,1,0,10,5,0,0,4,1,1
Crawley Town,5.003335557,3,0,1,0,0,1,1,0,0,0,0,0
Crewe Alexandra,18.71368069,19,11,5,0,0,0,1,0,0,2,0,0
Crystal Palace,19.00490327,50,9,11,3,0,9,8,0,0,9,0,1
Dagenham and Redbridge,3.290556104,2,0,1,0,0,0,1,0,0,0,0,0
Derby County,33.63395541,113,24,44,1,0,3,31,0,0,4,2,4
Doncaster Rovers,38.73678682,59,6,30,0,1,1,10,0,0,4,4,3
Everton,19.42376174,78,19,19,5,0,9,11,2,0,9,1,3
Exeter City,30.4414003,26,10,6,0,1,0,8,0,0,0,1,0
Fleetwood Town,3.926187672,2,0,0,0,0,0,0,0,0,2,0,0
Fulham,38.13229572,98,5,44,1,0,7,34,0,1,1,3,2
Gillingham,25.03885339,29,3,8,0,1,11,3,0,0,1,1,1
Hartlepool United,43.2790224,34,5,7,0,0,6,7,0,0,3,4,2
Huddersfield Town,21.2244898,52,13,16,2,0,10,7,0,0,1,0,3
Hull City,25.4045181,65,19,15,2,0,4,18,0,1,5,0,1
Ipswich Town,11.87687638,36,3,17,1,0,5,5,0,0,3,0,2
Leeds United,60.48226649,228,34,73,3,3,27,68,0,0,9,2,9
Leicester City,39.98512182,129,21,53,4,1,10,17,1,1,10,7,4
Leyton Orient,16.17948441,15,2,3,1,0,6,2,0,0,1,0,0
Liverpool,17.5739203,80,10,16,4,2,7,24,1,0,14,0,2
Luton Town,50.85077254,52,8,27,1,0,7,7,0,0,2,0,0
Macclesfield Town,12.58851298,8,1,1,0,0,1,4,0,0,0,0,1
